Gemeente;Code;AmsterdamseCode;Partij;AantalStemmen;AantalZetels;
Almelo;G0141;11053;Partij Vrij Almelo (PVA);1604;2;
Almelo;G0141;11053;SP (Socialistische Partij);1582;2;
Almelo;G0141;11053;GROENLINKS;1539;2;
Almelo;G0141;11053;Blanco lijst 14;1271;1;
Almelo;G0141;11053;Leefbaar Almelo;960;1;
Almelo;G0141;11053;DEMOCRATEN.NU;862;1;
Almelo;G0141;11053;Minimapartij;631;;
Almelo;G0141;11053;Almelo Centraal;610;;
Almere;G0034;10018;VVD;10574;8;
Almere;G0034;10018;Partij van de Arbeid (P.v.d.A.);9690;7;
Almere;G0034;10018;PVV (Partij voor de Vrijheid);9101;6;
Almere;G0034;10018;Democraten 66 (D66);7054;5;
Almere;G0034;10018;GROENLINKS;5758;4;
Almere;G0034;10018;SP (Socialistische Partij);5003;3;
Almere;G0034;10018;Leefbaar Almere;4766;3;
Almere;G0034;10018;Partij voor de Dieren;4106;3;
Almere;G0034;10018;ChristenUnie;3230;2;
Almere;G0034;10018;CDA;2924;2;
Almere;G0034;10018;AP/OPA;2326;1;
Almere;G0034;10018;Respect Almere;1320;1;
Almere;G0034;10018;Almere Anders'18;1188;;
Almere;G0034;10018;GLP;976;;
Almere;G0034;10018;WSTAV (Wij Staan Voor);654;;
Almere;G0034;10018;WOW (Wonen Ondernemen Werken);410;;
Alphen aan den Rijn;G0484;10517;Nieuw Elan;11604;10;
Alphen aan den Rijn;G0484;10517;VVD;6603;6;
Alphen aan den Rijn;G0484;10517;CDA;6449;6;
Alphen aan den Rijn;G0484;10517;GROENLINKS;5607;5;
Alphen aan den Rijn;G0484;10517;Democraten 66 (D66);3591;3;
Alphen aan den Rijn;G0484;10517;Partij van de Arbeid (P.v.d.A.);2938;2;
Alphen aan den Rijn;G0484;10517;SP (Socialistische Partij);2879;2;
Alphen aan den Rijn;G0484;10517;ChristenUnie;2834;2;
Alphen aan den Rijn;G0484;10517;Beter Alphen;2043;1;
Alphen aan den Rijn;G0484;10517;Staatkundig Gereformeerde Partij (SGP);1843;1;
Alphen aan den Rijn;G0484;10517;RijnGouweLokaal (RGL);1799;1;
Alphen-Chaam;G1723;10710;CDA;1398;4;
Alphen-Chaam;G1723;10710;Gemeenschapsbelangen Alphen;1386;4;
Alphen-Chaam;G1723;10710;GBSV;1369;4;
Alphen-Chaam;G1723;10710;VVD;506;2;
Alphen-Chaam;G1723;10710;Gemeentebelangen Galder, Strijbeek, Ulvenhout AC (GSU);440;1;
Ameland;G0060;11153;AmelandEén;998;5;
Ameland;G0060;11153;Algemeen Belang Ameland;475;2;
Ameland;G0060;11153;CDA;291;1;
Ameland;G0060;11153;Partij van de Arbeid (P.v.d.A.);204;1;
Ameland;G0060;11153;Ameland '82;187;1;
Ameland;G0060;11153;VVD;173;1;
Amersfoort;G0307;10948;Democraten 66 (D66);10699;6;
Amersfoort;G0307;10948;VVD;10427;6;
Amersfoort;G0307;10948;GROENLINKS;9257;6;
Amersfoort;G0307;10948;CDA;9176;6;
Amersfoort;G0307;10948;ChristenUnie;7197;4;
Amersfoort;G0307;10948;Amersfoort 2014;5284;3;
Amersfoort;G0307;10948;SP (Socialistische Partij);4786;3;
Amersfoort;G0307;10948;Burger Partij Amersfoort (BPA);4449;2;
Amersfoort;G0307;10948;Partij van de Arbeid (P.v.d.A.);4353;2;
Amersfoort;G0307;10948;DENK;2390;1;
Amersfoort;G0307;10948;Staatkundig Gereformeerde Partij (SGP);980;;
Amersfoort;G0307;10948;Actief;743;;
Amersfoort;G0307;10948;Vrede en Recht;388;;
Amersfoort;G0307;10948;Blanco lijst 10;192;;
Amstelveen;G0362;10799;VVD;9048;10;
Amstelveen;G0362;10799;Democraten 66 (D66);6765;7;
Amstelveen;G0362;10799;GROENLINKS;5165;5;
Amstelveen;G0362;10799;BURGERBELANGEN AMSTELVEEN;4103;4;
Amstelveen;G0362;10799;Partij van de Arbeid (P.v.d.A.);2636;3;
Amstelveen;G0362;10799;SP (Socialistische Partij);2618;2;
Amstelveen;G0362;10799;CDA;2439;2;
Amstelveen;G0362;10799;Actief voor Amstelveen;1943;2;
Amstelveen;G0362;10799;Ouderen Combinatie Amstelveen (OCA);1302;1;
Amstelveen;G0362;10799;ChristenUnie;1297;1;
Amsterdam;G0363;11150;GROENLINKS;70880;10;
Amsterdam;G0363;11150;Democraten 66 (D66);55724;8;
Amsterdam;G0363;11150;VVD;39702;6;
Amsterdam;G0363;11150;Partij van de Arbeid (P.v.d.A.);37181;5;
Amsterdam;G0363;11150;SP (Socialistische Partij);26070;3;
Amsterdam;G0363;11150;Partij voor de Dieren;24672;3;
Amsterdam;G0363;11150;DENK;23138;3;
Amsterdam;G0363;11150;Forum voor Democratie;20015;3;
Amsterdam;G0363;11150;CDA;11991;1;
Amsterdam;G0363;11150;Partij van de Ouderen (P.v.d.O.);7752;1;
Amsterdam;G0363;11150;ChristenUnie;6837;1;
Amsterdam;G0363;11150;Amsterdam BIJ1;6571;1;
Amsterdam;G0363;11150;Piratenpartij Amsterdam;4459;;
Amsterdam;G0363;11150;50PLUS;4233;;
Amsterdam;G0363;11150;Platform Amsterdam;1407;;
Amsterdam;G0363;11150;SAMEN Alle Mensen Één Nederland (SAMEN);1158;;
Amsterdam;G0363;11150;U-Buntu Connected Front (UCF);1052;;
Amsterdam;G0363;11150;destemvandestraat;899;;
Amsterdam;G0363;11150;Anti-Scooter Partij;696;;
Amsterdam;G0363;11150;Basisinkomen Partij (BIpartij);635;;
Amsterdam;G0363;11150;Staatkundig Gereformeerde Partij (SGP);546;;
Amsterdam;G0363;11150;Blije Burgers;318;;
Amsterdam;G0363;11150;blanco (van Oudenallen, H.F.M.);281;;
Amsterdam;G0363;11150;Blanco lijst 28;260;;
Amsterdam;G0363;11150;QUEER;228;;
Amsterdam;G0363;11150;Partij voor Iedereen;228;;
Amsterdam;G0363;11150;Carryonthemove;126;;
Amsterdam;G0363;11150;De Republikeinse Politieke Partij;89;;
Apeldoorn;G0200;11075;VVD;9507;6;
Apeldoorn;G0200;11075;Lokaal Apeldoorn;9069;5;
Apeldoorn;G0200;11075;CDA;8983;5;
Apeldoorn;G0200;11075;Democraten 66 (D66);6951;4;
Apeldoorn;G0200;11075;ChristenUnie;6154;4;
Apeldoorn;G0200;11075;GROENLINKS;6034;3;
Apeldoorn;G0200;11075;50PLUS;4764;3;
Apeldoorn;G0200;11075;Partij van de Arbeid (P.v.d.A.);4268;2;
Apeldoorn;G0200;11075;SP (Socialistische Partij);3457;2;
Apeldoorn;G0200;11075;Staatkundig Gereformeerde Partij (SGP);3260;2;
Apeldoorn;G0200;11075;Partij voor de Dieren;3192;2;
Apeldoorn;G0200;11075;Gemeentebelangen;2971;1;
Apeldoorn;G0200;11075;Progressief Sociaal Apeldoorn (PSA);904;;
Apeldoorn;G0200;11075;JEZUS LEEFT;304;;
Apeldoorn;G0200;11075;Vrede en Recht;228;;
Appingedam;G0003;10886;Gemeentebelangen Appingedam;1944;6;
Appingedam;G0003;10886;SP (Socialistische Partij);894;3;
Appingedam;G0003;10886;CDA;552;2;
Appingedam;G0003;10886;Partij van de Arbeid (P.v.d.A.);493;2;
Appingedam;G0003;10886;Democraten 66 (D66);368;1;
Appingedam;G0003;10886;ChristenUnie;336;1;
Appingedam;G0003;10886;VVD;166;;
Arnhem;G0202;10795;GROENLINKS;10098;7;
Arnhem;G0202;10795;VVD;8019;6;
Arnhem;G0202;10795;Democraten 66 (D66);8013;5;
Arnhem;G0202;10795;Partij van de Arbeid (P.v.d.A.);5401;4;
Arnhem;G0202;10795;SP (Socialistische Partij);4682;3;
Arnhem;G0202;10795;Arnhem Centraal;4223;3;
Arnhem;G0202;10795;Partij voor de Dieren;3892;2;
Arnhem;G0202;10795;CDA;3767;2;
Arnhem;G0202;10795;DENK Verenigd Arnhem;3147;2;
Arnhem;G0202;10795;PVV (Partij voor de Vrijheid);3112;2;
Arnhem;G0202;10795;ChristenUnie;2841;2;
Arnhem;G0202;10795;Arnhemse Ouderen Partij;2655;1;
Arnhem;G0202;10795;Arnhem1;530;;
Arnhem;G0202;10795;Nederlandse Volks-Unie (NVU);338;;
Arnhem;G0202;10795;Blanco lijst 12;173;;
Arnhem;G0202;10795;Gelderse Centrumdemocraten (Gelderse C.D.);55;;
Assen;G0106;10522;ChristenUnie;4209;5;
Assen;G0106;10522;Partij van de Arbeid (P.v.d.A.);3834;4;
Assen;G0106;10522;GROENLINKS;3677;4;
Assen;G0106;10522;Stadspartij PLOP;3586;4;
Assen;G0106;10522;VVD;3380;4;
Assen;G0106;10522;Democraten 66 (D66);2918;3;
Assen;G0106;10522;50PLUS;2652;3;
Assen;G0106;10522;SP (Socialistische Partij);2572;3;
Assen;G0106;10522;CDA;2328;3;
Asten;G0743;10478;CDA;2360;5;
Asten;G0743;10478;Algemeen Belang;1737;4;
Asten;G0743;10478;Leefbaar Asten;1416;3;
Asten;G0743;10478;PGA;1130;2;
Asten;G0743;10478;D66-Hart voor Asten;857;2;
Asten;G0743;10478;VVD;402;1;
Baarle-Nassau;G0744;10060;BAARLE!;1225;5;
Baarle-Nassau;G0744;10060;Keerpunt '98;676;3;
Baarle-Nassau;G0744;10060;CDA;512;2;
Baarle-Nassau;G0744;10060;Fractie Ulicoten;370;2;
Baarle-Nassau;G0744;10060;Vooruitstrevende Partij Baarle (VPB);328;1;
Baarn;G0308;11411;VVD;2653;5;
Baarn;G0308;11411;Democraten 66 (D66);1689;3;
Baarn;G0308;11411;VoorBaarn;1588;3;
Baarn;G0308;11411;CDA;1540;2;
Baarn;G0308;11411;GROENLINKS;1531;2;
Baarn;G0308;11411;Baarnse Onafhankelijke Partij (BOP);1069;2;
Baarn;G0308;11411;Partij van de Arbeid (P.v.d.A.);843;1;
Baarn;G0308;11411;ChristenUnie-SGP;794;1;
Baarn;G0308;11411;LTS (Lijst Tinus Snyders);215;;
Barendrecht;G0489;10943;EVB (Echt voor Barendrecht);9131;14;
Barendrecht;G0489;10943;CDA;2484;4;
Barendrecht;G0489;10943;SGP-ChristenUnie;2406;3;
Barendrecht;G0489;10943;VVD;2356;3;
Barendrecht;G0489;10943;Partij van de Arbeid (P.v.d.A.);1665;2;
Barendrecht;G0489;10943;GROENLINKS;1280;2;
Barendrecht;G0489;10943;Democraten 66 (D66);1121;1;
Barneveld;G0203;10906;Staatkundig Gereformeerde Partij (SGP);7380;8;
Barneveld;G0203;10906;ChristenUnie;5112;5;
Barneveld;G0203;10906;Pro'98 (Pro Barneveld - PvdA - D66);4596;5;
Barneveld;G0203;10906;CDA;4288;5;
Barneveld;G0203;10906;Lokaal Belang;3983;4;
Barneveld;G0203;10906;VVD;2372;2;
Barneveld;G0203;10906;Burger Initiatief;1718;2;
Barneveld;G0203;10906;Blanco lijst 8;223;;
Beek;G0888;11374;BBB-NDB;2573;5;
Beek;G0888;11374;CDA;2370;5;
Beek;G0888;11374;Progressief Beek;1653;4;
Beek;G0888;11374;VVD;737;2;
Beek;G0888;11374;Senioren Belang Beek;652;1;
Beemster;G0370;10816;Beemster Polder Partij;2252;6;
Beemster;G0370;10816;VVD;963;3;
Beemster;G0370;10816;Partij van de Arbeid (P.v.d.A.)/GROENLINKS;613;2;
Beemster;G0370;10816;Democraten 66 (D66);553;1;
Beemster;G0370;10816;CDA;446;1;
Beesel;G0889;10195;CDA;1953;5;
Beesel;G0889;10195;Verantwoorde Lokale Politiek (V.L.P.);1875;5;
Beesel;G0889;10195;Beeselse Lijst;1068;3;
Beesel;G0889;10195;P.v.d.A. D66 GROENLINKS Samen Verder Beesel;751;2;
Berg en Dal;G1945;10616;CDA;2487;4;
Berg en Dal;G1945;10616;GROENLINKS;2221;3;
Berg en Dal;G1945;10616;Polderbreed;1706;3;
Berg en Dal;G1945;10616;Gemeente- Jeugd- en Sportbelangen;1653;2;
Berg en Dal;G1945;10616;Groesbeekse Volkspartij (GVP);1561;2;
Berg en Dal;G1945;10616;V.O.L.G.;1476;2;
Berg en Dal;G1945;10616;VOOR BERG EN DAL (VBenD);1271;2;
Berg en Dal;G1945;10616;Sociaal Groesbeek;1187;2;
Berg en Dal;G1945;10616;VVD;1117;1;
Berg en Dal;G1945;10616;Partij van de Arbeid (P.v.d.A.);992;1;
Berg en Dal;G1945;10616;Democraten 66 (D66);808;1;
Bergeijk;G1724;11160;CDA;3731;7;
Bergeijk;G1724;11160;Lokale Partij Bergeijk;2032;4;
Bergeijk;G1724;11160;GROENLINKS//Partij van de Arbeid;1904;4;
Bergeijk;G1724;11160;VVD;1224;2;
Bergen;G0373;11424;KIES Lokaal;3200;5;
Bergen;G0373;11424;GROENLINKS;2849;4;
Bergen;G0373;11424;VVD;2454;3;
Bergen;G0373;11424;Gemeentebelangen B-E-S;2054;3;
Bergen;G0373;11424;CDA;1794;2;
Bergen;G0373;11424;Democraten 66 (D66);1514;2;
Bergen;G0373;11424;Partij van de Arbeid (P.v.d.A.);1147;1;
Bergen;G0373;11424;Behoorlijk Bestuur Bergen N.H.;864;1;
Bergen;G0893;11281;CDA;2304;6;
Bergen;G0893;11281;Progressieve Kombinatie Bergen (L);1475;4;
Bergen;G0893;11281;KERN;1230;3;
Bergen;G0893;11281;VVD;595;2;
Bergen op Zoom;G0748;11037;GBWP;7138;9;
Bergen op Zoom;G0748;11037;VVD;3753;5;
Bergen op Zoom;G0748;11037;Lijst Linssen;3084;4;
Bergen op Zoom;G0748;11037;CDA;2858;4;
Bergen op Zoom;G0748;11037;Democraten 66 (D66);2615;3;
Bergen op Zoom;G0748;11037;BSD;1767;2;
Bergen op Zoom;G0748;11037;GROENLINKS;1635;2;
Bergen op Zoom;G0748;11037;Partij van de Arbeid (P.v.d.A.);1439;2;
Bergen op Zoom;G0748;11037;SP (Socialistische Partij);1293;1;
Bergen op Zoom;G0748;11037;Steunpunt Bergen op Zoom;730;1;
Berkelland;G1859;10436;CDA;5531;8;
Berkelland;G1859;10436;Gemeentebelangen Berkelland;4116;5;
Berkelland;G1859;10436;Democraten 66 (D66);3443;4;
Berkelland;G1859;10436;VVD;3171;4;
Berkelland;G1859;10436;Partij van de Arbeid (P.v.d.A.);2035;2;
Berkelland;G1859;10436;GROENLINKS;2027;2;
Berkelland;G1859;10436;OBL (Ondernemend Berkelland);1409;2;
Bernheze;G1721;10149;CDA;2970;6;
Bernheze;G1721;10149;Lokaal;2770;5;
Bernheze;G1721;10149;SP (Socialistische Partij);1977;3;
Bernheze;G1721;10149;Democraten 66 (D66);1570;3;
Bernheze;G1721;10149;VVD;1325;2;
Bernheze;G1721;10149;Progressief Bernheze;1159;2;
Bernheze;G1721;10149;Politieke Partij Blanco;1111;2;
Best;G0753;10442;VVD;3051;6;
Best;G0753;10442;CDA;1933;3;
Best;G0753;10442;Best Open;1709;3;
Best;G0753;10442;Jongerenpartij JO;1561;3;
Best;G0753;10442;Democraten 66 (D66);1260;2;
Best;G0753;10442;Gemeentebelangen Best;981;2;
Best;G0753;10442;Partij van de Arbeid (P.v.d.A.);882;1;
Best;G0753;10442;ChristenUnie;637;1;
Beuningen;G0209;10417;Beuningen Nu & Morgen;3566;7;
Beuningen;G0209;10417;CDA;1810;3;
Beuningen;G0209;10417;VVD;1531;3;
Beuningen;G0209;10417;GROENLINKS;1360;3;
Beuningen;G0209;10417;Democraten 66 (D66);1028;2;
Beuningen;G0209;10417;SP (Socialistische Partij);987;2;
Beuningen;G0209;10417;Partij van de Arbeid (P.v.d.A.);674;1;
Beverwijk;G0375;10272;VVD;2356;5;
Beverwijk;G0375;10272;GROENLINKS;2338;5;
Beverwijk;G0375;10272;Democraten 66 (D66);2286;4;
Beverwijk;G0375;10272;Partij van de Arbeid (P.v.d.A.);1722;3;
Beverwijk;G0375;10272;CDA;1414;3;
Beverwijk;G0375;10272;SamenBeverwijk;1382;2;
Beverwijk;G0375;10272;VRIJ !;1351;2;
Beverwijk;G0375;10272;Democraten Beverwijk;1107;2;
Beverwijk;G0375;10272;Gemeentebelangen Beverwijk;856;1;
Bladel;G1728;11006;CDA;2099;5;
Bladel;G1728;11006;Bladel Transparant (BT);2086;5;
Bladel;G1728;11006;Vrije Hapertse Partij (VHP);1876;4;
Bladel;G1728;11006;PRO5;1616;3;
Bladel;G1728;11006;VVD;608;1;
Bladel;G1728;11006;Democraten 66 (D66);455;1;
Bladel;G1728;11006;Politieke Partij "Bladels Belang";132;;
Bladel;G1728;11006;TrefZeker Hapert;104;;
Blaricum;G0376;10493;Hart voor Blaricum;1223;4;
Blaricum;G0376;10493;VVD;1179;3;
Blaricum;G0376;10493;De Blaricumse Partij;924;3;
Blaricum;G0376;10493;Democraten 66 (D66);614;2;
Blaricum;G0376;10493;Democratisch Alternatief Blaricum;530;2;
Blaricum;G0376;10493;CDA;383;1;
Blaricum;G0376;10493;Partij van de Arbeid (P.v.d.A.);254;;
Bloemendaal;G0377;10850;VVD;3057;5;
Bloemendaal;G0377;10850;GROENLINKS;1878;3;
Bloemendaal;G0377;10850;Democraten 66 (D66);1679;3;
Bloemendaal;G0377;10850;CDA;1592;3;
Bloemendaal;G0377;10850;Hart voor Bloemendaal;1441;2;
Bloemendaal;G0377;10850;Partij van de Arbeid (P.v.d.A.);815;1;
Bloemendaal;G0377;10850;LIBERAAL BLOEMENDAAL;723;1;
Bloemendaal;G0377;10850;Vrijzinnig Democratisch B'daal (VDB);715;1;
Bodegraven-Reeuwijk;G1901;11091;VVD;3627;6;
Bodegraven-Reeuwijk;G1901;11091;CDA;3520;5;
Bodegraven-Reeuwijk;G1901;11091;Burgerbelangen Bodegraven-Reeuwijk;2298;3;
Bodegraven-Reeuwijk;G1901;11091;Staatkundig Gereformeerde Partij (SGP);1952;3;
Bodegraven-Reeuwijk;G1901;11091;ChristenUnie;1459;2;
Bodegraven-Reeuwijk;G1901;11091;GROENLINKS;1361;2;
Bodegraven-Reeuwijk;G1901;11091;Democraten 66 (D66);963;1;
Bodegraven-Reeuwijk;G1901;11091;Partij van de Arbeid (P.v.d.A.);835;1;
Boekel;G0755;10432;CDA;2344;7;
Boekel;G0755;10432;Gemeenschapsbelang Venhorst-Boekel;1183;4;
Boekel;G0755;10432;D.O.P.;931;3;
Boekel;G0755;10432;VVD;335;1;
Borger-Odoorn;G1681;10448;Gemeentebelangen Borger-Odoorn;3917;8;
Borger-Odoorn;G1681;10448;VVD;1724;3;
Borger-Odoorn;G1681;10448;Partij van de Arbeid (P.v.d.A.);1469;3;
Borger-Odoorn;G1681;10448;CDA;1230;2;
Borger-Odoorn;G1681;10448;Leefbaar Borger-Odoorn;1107;2;
Borger-Odoorn;G1681;10448;GROENLINKS;735;1;
Borger-Odoorn;G1681;10448;ChristenUnie;629;1;
Borger-Odoorn;G1681;10448;Democraten 66 (D66);560;1;
Borne;G0147;10326;CDA;2431;5;
Borne;G0147;10326;GB'90;2126;4;
Borne;G0147;10326;VVD;1563;3;
Borne;G0147;10326;Borne-Nu;1366;2;
Borne;G0147;10326;GROENLINKS/Partij van de Arbeid (P.v.d.A.);1297;2;
Borne;G0147;10326;SP (Socialistische Partij);1105;2;
Borne;G0147;10326;Democraten 66 (D66);701;1;
Borsele;G0654;10043;SGP-ChristenUnie;2570;5;
Borsele;G0654;10043;CDA;2505;5;
Borsele;G0654;10043;Lokale Partij Borsele;1602;3;
Borsele;G0654;10043;Partij van de Arbeid (P.v.d.A.);1225;2;
Borsele;G0654;10043;VVD;1088;2;
Borsele;G0654;10043;Democraten 66 (D66);968;1;
Borsele;G0654;10043;OPA Borsele;745;1;
Boxmeer;G0756;11227;CDA;3878;6;
Boxmeer;G0756;11227;SP (Socialistische Partij);3178;5;
Boxmeer;G0756;11227;Lokale Onafhankelijke Fractie (LOF);2620;4;
Boxmeer;G0756;11227;VDB/LO;2098;3;
Boxmeer;G0756;11227;PK (Progressieve Kombinatie);1431;2;
Boxmeer;G0756;11227;VVD;1159;1;
Boxtel;G0757;10083;BALANS;2739;5;
Boxtel;G0757;10083;Combinatie95;2619;5;
Boxtel;G0757;10083;SP (Socialistische Partij);1882;3;
Boxtel;G0757;10083;CDA;1729;3;
Boxtel;G0757;10083;Democraten 66 (D66);1454;3;
Boxtel;G0757;10083;INbox;1064;2;
Boxtel;G0757;10083;Partij van de Arbeid (P.v.d.A.)/GROENLINKS;896;1;
Boxtel;G0757;10083;VVD;881;1;
Breda;G0758;10154;VVD;17503;11;
Breda;G0758;10154;CDA;10631;6;
Breda;G0758;10154;Democraten 66 (D66);9918;6;
Breda;G0758;10154;GROENLINKS;9177;5;
Breda;G0758;10154;Partij van de Arbeid (P.v.d.A.);6711;4;
Breda;G0758;10154;SP (Socialistische Partij);6412;4;
Breda;G0758;10154;50PLUS;4211;2;
Breda;G0758;10154;BREDA'97;2442;1;
Breda;G0758;10154;Volkspartij Breda;1560;;
Breda;G0758;10154;Volmondig JA;1430;;
Breda;G0758;10154;BOB;1212;;
Breda;G0758;10154;Bredase Stadspartij;941;;
Breda;G0758;10154;TROTS/OPA;510;;
Brielle;G0501;10232;Inwonersbelang Brielle;2456;6;
Brielle;G0501;10232;VVD;1793;4;
Brielle;G0501;10232;CDA;1194;3;
Brielle;G0501;10232;Partij van de Arbeid (P.v.d.A.);898;2;
